unique_request_id,InsCode,ISIN,ticker,endpoint_date,occurrence_count,qTotCap,qTotTran5J,zTotTran,raw_close
UNQ0218,40262275031537922,IRO1ROZD0001,دروز,2014-07-16,1,0.0,0.0,0.0,6001.0
UNQ0219,40262275031537922,IRO1ROZD0001,دروز,2014-07-20,1,0.0,0.0,0.0,5951.0
UNQ0220,40262275031537922,IRO1ROZD0001,دروز,2015-07-19,2,0.0,0.0,0.0,5341.0
UNQ0221,40262275031537922,IRO1ROZD0001,دروز,2016-07-18,1,0.0,0.0,0.0,5216.0
UNQ0222,40262275031537922,IRO1ROZD0001,دروز,2018-07-18,1,0.0,0.0,0.0,2325.0
UNQ0223,40262275031537922,IRO1ROZD0001,دروز,2019-07-17,1,0.0,0.0,0.0,4274.0
UNQ0224,40262275031537922,IRO1ROZD0001,دروز,2019-07-20,1,0.0,0.0,0.0,4274.0
UNQ0225,40505767672724777,IRO1INFO0001,رانفور,2015-07-19,2,0.0,0.0,0.0,12217.0
UNQ0226,40611478183231802,IRO1DODE0001,شدوص,2015-07-19,2,0.0,0.0,0.0,2498.0
UNQ0227,40611478183231802,IRO1DODE0001,شدوص,2017-07-18,1,0.0,0.0,0.0,2644.0
UNQ0228,40611478183231802,IRO1DODE0001,شدوص,2017-07-19,1,0.0,0.0,0.0,2644.0
UNQ0229,40808043719554948,IRO1FAIR0001,فولاژ,2015-07-19,2,0.0,0.0,0.0,1606.0
UNQ0230,40808043719554948,IRO1FAIR0001,فولاژ,2016-07-18,1,0.0,0.0,0.0,1594.0
UNQ0231,40808043719554948,IRO1FAIR0001,فولاژ,2016-07-19,1,0.0,0.0,0.0,1594.0
UNQ0232,40808043719554948,IRO1FAIR0001,فولاژ,2017-07-18,1,0.0,0.0,0.0,1803.0
UNQ0233,40808043719554948,IRO1FAIR0001,فولاژ,2017-07-19,1,0.0,0.0,0.0,1803.0
UNQ0234,40808043719554948,IRO1FAIR0001,فولاژ,2018-07-17,1,0.0,0.0,0.0,1491.0
UNQ0235,40808043719554948,IRO1FAIR0001,فولاژ,2018-07-18,1,0.0,0.0,0.0,1491.0
UNQ0236,40808043719554948,IRO1FAIR0001,فولاژ,2019-07-17,1,0.0,0.0,0.0,6177.0
