ticker,fiscal_year_t,target_year,temporal_folds,pair_cutoff_date,window_start_calendar_date,window_first_trading_date,window_last_trading_date,t_star,window_trading_day_count,usable_daily_return_count,usable_amihud_day_count,missing_price_day_count,zero_traded_value_day_count,d2_start_trading_date,d2_end_trading_date,d2_effective_span_days,d2_status,equity_return_d2,d2_no_start_boundary_price,d2_no_end_boundary_price,d2_start_adjusted_close_is_zero,fewer_than_126_valid_returns,realized_volatility,amihud_illiquidity,equity_return_window_d0_historical,in_three_variable_common_sample,m2_value_status
جم,1395,1396,"fold1_validation,fold2_train",2017-07-21,2016-07-19,2016-07-19,2017-07-19,2017-07-19,243,225,225,13,13,2016-07-24,2017-07-19,360,OBSERVED_COMPLETE,0.19624060150375944,False,False,False,False,0.007634750689447352,1.1605249312693731e-12,,True,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0
جم,1396,1397,"fold1_validation,fold2_train",2018-07-20,2017-07-18,2017-07-18,2018-07-18,2018-07-18,242,227,227,10,10,2017-07-18,2018-07-18,365,OBSERVED_COMPLETE,0.5270100502512562,False,False,False,False,0.011142460486023215,8.69387166592983e-13,0.5270100502512562,True,OBSERVED_COMPLETE
جم,1397,1398,fold2_validation,2019-07-20,2018-07-17,2018-07-17,2019-07-17,2019-07-17,246,219,219,20,20,2018-07-17,2019-07-17,365,OBSERVED_COMPLETE,0.6965918536990856,False,False,False,False,0.018172082839852496,9.877858847337865e-13,0.6965918536990856,True,OBSERVED_COMPLETE
جم,1398,1399,fold2_validation,2020-07-19,2019-07-18,2019-07-20,2020-07-18,2020-07-18,240,219,219,16,16,2019-07-20,2020-07-18,364,OBSERVED_COMPLETE,3.6046738072054527,False,False,False,False,0.02554991721576395,2.993399751744356e-13,3.6046738072054527,True,OBSERVED_COMPLETE
جم پیلن,1398,1399,fold2_validation,2020-07-19,2019-07-18,2019-07-20,2020-07-18,2020-07-18,240,227,227,8,8,2019-07-20,2020-07-18,364,OBSERVED_COMPLETE,2.492249527410208,False,False,False,False,0.02626245189885842,2.45708981263555e-13,2.492249527410208,True,OBSERVED_COMPLETE
حپترو,1392,1393,"fold1_train,fold2_train",2014-07-20,2013-07-16,2013-07-16,2014-07-16,2014-07-16,245,209,209,23,23,2013-07-16,2014-07-16,365,OBSERVED_COMPLETE,0.250996015936255,False,False,False,False,0.026342164069413313,5.813430735968342e-11,0.250996015936255,True,OBSERVED_COMPLETE
حپترو,1393,1394,"fold1_train,fold2_train",2015-07-20,2014-07-19,2014-07-20,2015-07-19,2015-07-19,241,236,236,4,4,2014-07-20,2015-07-12,357,OBSERVED_COMPLETE,0.3496732026143792,False,False,False,False,0.025436225870004762,4.013186983464907e-11,,True,OBSERVED_INCOMPLETE: adjusted_close missing at window end T*
حپترو,1394,1395,"fold1_train,fold2_train",2016-07-19,2015-07-18,2015-07-19,2016-07-18,2016-07-18,247,241,241,5,5,2015-07-21,2016-07-13,358,OBSERVED_COMPLETE,0.11111111111111116,False,False,False,False,0.02442988198048223,2.4097977206356726e-11,,True,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0; adjusted_close missing at window end T*
حپترو,1395,1396,"fold1_validation,fold2_train",2017-07-21,2016-07-19,2016-07-19,2017-07-19,2017-07-19,243,205,205,31,31,2016-07-24,2017-07-16,357,OBSERVED_COMPLETE,0.38551401869158886,False,False,False,False,0.02654027745701232,1.741070516038912e-11,,True,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0; adjusted_close missing at window end T*
حپترو,1396,1397,"fold1_validation,fold2_train",2018-07-20,2017-07-18,2017-07-18,2018-07-18,2018-07-18,242,226,226,13,13,2017-07-30,2018-07-17,352,OBSERVED_COMPLETE,-0.4585365853658536,False,False,False,False,0.021939316475405497,3.0479440580398683e-11,,True,OBSERVED_INCOMPLETE: adjusted_close missing at window start t0; adjusted_close missing at window end T*
