ticker,ticker_normalized,company_name,earliest_fiscal_year_in_dataset,latest_fiscal_year_in_dataset,n_panel_rows,current_prelisting_proxy_row_count,current_first_eligible_year_proxy,has_prelisting_proxy_rows,tsetmc_candidate_status,tsetmc_candidate_date_jalali,tsetmc_candidate_date_gregorian,tsetmc_instrument_candidate_count,multiple_ordinary_instruments,suspected_public_entry_after_1392,gap_after_1392,estimated_rows_at_risk,estimated_pairs_at_risk,priority_reason,priority_score,priority_rank
ختوقا,ختوقا,گروه صنعتی قطعات اتومبیل ایران,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,69
خرینگ,خرینگ,رینگ سازی مشهد,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,70
خمحور,خمحور,تولید محور خودرو,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,71
خمهر,خمهر,مهرکام پارس,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,72
خنصیر,خنصیر,مهندسی نصیر ماشین,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,73
خوساز,خوساز,محورسازان ایران خودرو,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,74
خچرخش,خچرخش,چرخشگر,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,75
خکمک,خکمک,کمک فنر ایندامین,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,76
دروز,دروز,روز دارو,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,77
دسبحا,دسبحا,گروه دارویی سبحان,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,78
دیران,دیران,ایران دارو,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,79
رانفور,رانفور,خدمات انفورماتیک,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,80
رمپنا,رمپنا,گروه مپنا (سهامی عام),1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,81
زمگسا,زمگسا,شرکت کشاورزی و دامپروری مگسال,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,82
ساراب,ساراب,سیمان داراب,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,83
سبهان,سبهان,سیمان بهبهان,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,84
سخزر,سخزر,سیمان خزر,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,85
سخوز,سخوز,سیمان خوزستان,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,86
سدشت,سدشت,سیمان دشتستان,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,87
سدور,سدور,شرکت سیمان دورود,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,88
سرود,سرود,سیمان شاهرود,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,89
سشرق,سشرق,سیمان شرق,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,90
سفارس,سفارس,سیمان فارس و خوزستان,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,91
سقاین,سقاین,سیمان قاین,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,92
سمازن,سمازن,سیمان مازندران,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,93
سهگمت,سهگمت,سیمان هگمتان,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,94
سپاها,سپاها,سیمان سپاهان,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,95
سکرد,سکرد,سیمان کردستان,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,96
سیلام,سیلام,سیمان ایلام,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,97
غبهنوش,غبهنوش,بهنوش ایران,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,98
غدام,غدام,خوراک دام پارس,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,99
غسالم,غسالم,سالمین,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,100
غشان,غشان,شیر پاستوریزه پگاه خراسان,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,101
غشهد,غشهد,شهد ایران,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,102
غنوش,غنوش,نوش مازندران,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,103
غگل,غگل,گلوکوزان,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,104
های وب,های وب,داده گستر عصر نوین,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,105
همراه,همراه,ارتباطات سیار ایران,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,106
ومعادن,ومعادن,شرکت سرمایه گذاری توسعه معادن و فلزات (سهامی عام),1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,107
کبافق,کبافق,معادن بافق,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,108
کرازی,کرازی,کارخانجات تولیدی شیشه دارویی رازی,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,109
کروی,کروی,توسعه معادن روی ایران,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,110
کفرا,کفرا,فرآورده‌های نسوز ایران,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,111
کفپارس,کفپارس,فرآورده‌های نسوز پارس,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,112
کهمدا,کهمدا,شیشه همدان,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,113
کگاز,کگاز,شیشه و گاز,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,114
کگل,کگل,معدنی و صنعتی گل گهر,1392,1402,11,0,1392,0,not_probed_gate_a,,,,0,0,0,1,1,eligibility_rows_at_risk_if_entry_later,5.0,115
